_id,bookingID,customerID,satisfaction,tags
R2022N00001,1,00001,9,"[""average price"",""entertaining"",""clean"",""excellent restaurant""]"
R2022N00002,2,00002,6,"[""cheap"",""average service"",""dirty""]"
R2022N00003,3,00003,7,"[""expensive"",""good service"",""excellent restaurant"",""kinda boring""]"
R2022N00004,4,00004,10,"[""cheap"",""good service"",""clean"",""entertaining""]"
R2022N00005,5,00005,10,"[""average price"",""good service"",""clean"",""average restaurant"",""kinda boring""]"
R2022N00006,6,00006,6,"[""cheap"",""average restaurant"",""boring""]"
R2022N00007,7,00007,8,"[""cheap"",""excellent restaurant"",""clean""]"
R2022N00008,8,00008,4,"[""average price"",""average restaurant"",""average service"",""dirty""]"
R2022N00009,9,00009,7,"[""expensive"",""excellent restaurant"",""good service""]"
R2022N00010,10,00010,7,"[""average price"",""clean"",""good service""]"
R2022N00011,11,00011,10,"[""cheap"",""clean"",""entertaining""]"
R2022N00012,12,00012,8,"[""average price"",""good service"",""clean"",""kinda boring""]"
R2022N00013,13,00013,3,"[""average price"",""bad service"",""dirty"",""kinda boring""]"
